	23_23	24_21	10_13	24_9	8_13	24_23	10_11	23_11	25_21	22_10	24_11	23_9	9_11	25_22	24_24	9_13	25_23	26_22	8_12	23_10	23_22	24_10	24_22	10_12
Colonocyte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4394059093063675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6841049945315348	0.9671315817926263	0.7145077720207254
Immune	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Interstitial	1.0	0.0	0.020777935811019728	0.014246141669964385	0.0	0.00789616008653326	0.05156598628212544	0.08990361826512877	0.03634008837421911	0.15859938208032956	0.036334025944853146	0.008153396311291049	0.03516215273741718	0.018375948300084294	0.0	0.04994629430719656	0.049738219895287955	0.03815368196371398	0.01146022347435775	0.10821947516807634	0.0	0.02150929639081298	0.0	0.023316062176165803
Muscle	0.0	0.9126326689101735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8414006179196705	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.9231590181430096	0.0	0.0	0.9079972890545578	0.0	0.0	0.0
Rest	0.0	0.08736733108982656	0.9792220641889803	0.9857538583300356	1.0	0.9921038399134667	0.9484340137178745	0.4706904724285037	0.9636599116257809	0.0	0.9636659740551469	0.9918466036887089	0.9648378472625828	0.9816240516999157	0.0	0.9500537056928035	0.9502617801047121	0.03868729989327641	0.9885397765256423	0.8917805248319237	0.09200271094544223	0.2943857090776522	0.03286841820737377	0.2621761658031088
