	28.061_26.912	14.983_31.9	28.051_21.961	6.879_10.108	2.995_16.032	5.903_10.067	26.978_11.036	24.132_30.956	30.091_8.892	23.108_30.946	21.001_14.01	10.001_29.901	27.036_28.929	13.071_33.943	13.071_27.048	5.926_14.999	7.945_29.874	28.061_8.992	10.998_33.837	24.116_14.155	1.969_10.129	5.9_13.028	13.116_32.963	22.049_30.882	29.079_28.962	29.987_10.025	11.014_30.91	5.892_9.044	23.137_17.063	25.99_9.038	6.867_8.089	3.895_7.054	9.939_28.943	3.907_15.994	24.11_16.09	26.987_12.054	15.971_30.897	23.09_24.991	2.027_14.132	1.998_11.097	24.136_28.002	7.914_32.879	23.082_31.925	14.052_33.88	23.091_14.115	28.035_27.91	13.085_28.989	25.085_23.983	24.126_17.091	9.052_32.85	23.147_25.965	29.031_23.983	20.937_25.87	5.927_12.058	2.004_17.078	25.051_11.039	25.115_30.929	9.063_33.856	21.997_15.007	25.997_27.931	25.111_16.067	29.029_24.977	27.014_25.917	24.096_12.129	3.99_17.043	25.09_14.073	6.927_14.104	12.137_31.897	2.017_13.107	23.125_26.943	25.102_27.932	30.02_13.051	26.007_12.079	15.96_32.908	4.925_14.06	26.995_13.046	11.022_29.889	5.953_14.049	21.984_11.036	5.945_16.015	9.985_30.889	2.93_10.08	24.137_28.993	13.06_31.951	4.004_15.069	28.023_10.036	28.003_12.065	2.034_15.099	4.924_10.122	14.064_29.932	28.072_28.923	3.88_8.083	3.015_15.075	21.988_28.898	22.01_27.919	7.874_10.094	15.954_28.909	28.995_10.071	7.886_31.89	1.966_9.138	6.892_31.966	25.036_9.082	27.989_11.021	29.057_25.971	28.02_14.062	28.025_24.942	23.151_29.952	26.991_10.049	21.961_29.916	28.02_25.91	2.996_13.106	3.904_10.081	13.1_29.983	28.988_13.056	30.046_14.066	26.959_15.046	12.08_27.971	26.038_26.918	2.912_8.078	16.992_30.859	10.984_31.904	21.982_13.035	21.016_28.89	22.057_16.073	25.111_22.99	15.937_27.951	10.988_28.905	29.037_26.943	26.071_29.916	3.967_18.014	29.984_11.026	26.986_27.916	7.927_33.873	2.991_14.076	6.986_32.878	26.057_28.927	29.043_27.966	6.921_15.082	28.983_14.12	6.874_9.114	29.013_23.0	26.978_22.947	23.069_10.084	29.124_8.99	4.894_13.069	28.02_13.044	9.07_30.868	9.957_33.84	15.011_33.855	6.922_16.056	15.001_28.919	23.073_11.091	4.858_11.088	26.028_11.038	23.071_13.104	25.106_28.928	23.13_28.979	1.995_16.107	26.052_24.952	15.953_31.904	10.979_32.843	28.037_23.966	29.046_15.036	25.08_13.069	23.158_16.085	15.02_30.893	12.08_32.911	25.097_26.911	25.092_29.932	22.011_25.9	14.06_32.902	1.948_8.13	24.128_24.96	9.977_32.856	12.055_30.915	1.976_12.112	14.983_32.875	7.878_12.097	6.91_13.1	22.001_14.043	26.013_13.08	13.075_30.947	25.034_10.027	31.049_10.011	23.085_12.104	21.022_15.959	13.995_26.981	4.895_17.039	26.982_9.027	2.953_11.071	3.926_13.068	26.026_14.098	23.135_15.097	24.109_31.93	27.008_21.963	6.924_11.124	5.923_11.039	12.079_28.949	28.94_11.03	23.103_27.997	26.029_15.066	15.936_29.883	4.882_8.137	26.055_30.915	25.094_24.962	12.096_33.898	2.97_7.106	27.008_14.059	21.01_27.893	27.038_23.974	3.875_11.034	14.044_31.895	22.006_24.969	10.972_27.888	26.968_24.945	21.055_30.904	4.873_9.075	2.951_12.08	16.981_29.869	12.081_29.911	21.034_15.03	26.018_22.977	24.096_29.956	26.092_25.936	24.066_10.092	7.9_11.103	21.021_29.842	13.069_28.017	6.903_12.099	21.0_12.965	14.037_27.946	4.91_15.058	28.017_22.949	28.012_15.048	25.111_15.072	7.934_30.912	21.988_12.057	27.07_29.905	24.129_26.96	25.973_10.031	20.98_26.859	3.915_12.069	4.917_16.052	4.911_12.114	9.976_31.9	14.089_28.947	28.989_12.105	24.124_15.106	25.064_12.083	26.022_23.989	21.999_26.886	3.007_17.058	27.104_26.91	30.023_12.066	24.087_11.086	22.017_17.016	14.968_27.945	2.93_9.074	24.117_13.111	3.882_9.078	9.049_29.892
MN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3516327	0.0	0.0	0.0	0.0	0.6286224	0.307398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.437398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4032653	0.4280612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3943367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3576531	0.0	0.3357143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3473469	0.0	0.7808673	0.0	0.3986735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5867857	0.0	0.0
Glia	0.1205612	0.1179082	0.0410714	0.1279082	0.0957653	0.0418878	0.043010199999999985	0.22188780000000002	0.05352040000000002	0.10352040000000001	0.044744900000000004	0.0381122	0.0615306	0.0379082	0.2297449	0.09505100000000001	0.07668369999999998	0.1256633	0.0897959	0.0740306	0.0294388	0.0335714	0.1398469	0.0762755	0.0956633	0.0509694	0.13806120000000002	0.062244900000000006	0.021326499999999998	0.099949	0.015816300000000002	0.0407143	0.0604082	0.0578571	0.062397999999999995	0.0748469	0.142602	0.0413265	0.097602	0.0461735	0.0919388	0.0670918	0.1542857	0.025867300000000003	0.0632143	0.1128571	0.0992347	0.0884184	0.08147960000000001	0.0905102	0.08357139999999999	0.041836699999999984	0.2406633	0.0640306	0.1092347	0.0819898	0.1994898	0.07831629999999999	0.0270918	0.09525510000000001	0.0313265	0.0507653	0.1387755	0.0626531	0.07275510000000002	0.026785700000000003	0.0840306	0.0982653	0.06729589999999999	0.0805612	0.1339286	0.0377041	0.07270410000000001	0.0457653	0.0647959	0.0507653	0.0751531	0.0743878	0.1408163	0.1568367	0.08433669999999999	0.0566327	0.1088776	0.1947449	0.1203061	0.0857143	0.07301019999999998	0.0970408	0.1361224	0.10448980000000001	0.1067347	0.08515310000000001	0.064898	0.0815306	0.1092347	0.14326529999999998	0.0571939	0.0329592	0.12142860000000001	0.044744900000000004	0.030918400000000002	0.08102039999999999	0.0857143	0.08280610000000001	0.075102	0.1582143	0.1346939	0.1278571	0.1075	0.14760199999999998	0.0652041	0.0943367	0.1077041	0.0792857	0.06397959999999998	0.0385714	0.1885714	0.1182143	0.06653060000000001	0.032602	0.1318367	0.0617857	0.08872450000000001	0.042602	0.08607139999999999	0.1052041	0.0294898	0.165	0.0151531	0.14836729999999998	0.0341837	0.1054592	0.022602	0.059489800000000016	0.0582653	0.0753061	0.1917857	0.13806120000000002	0.032551000000000004	0.10352040000000001	0.0413776	0.0740816	0.0803571	0.10744899999999999	0.0839286	0.0968878	0.058979599999999986	0.07561219999999999	0.0647959	0.2145408	0.102602	0.15959179999999998	0.07479589999999998	0.07387760000000002	0.047653100000000004	0.0968367	0.08066330000000001	0.044387800000000005	0.0879082	0.0445918	0.0932143	0.08015310000000002	0.0712245	0.1046939	0.0396429	0.1229082	0.07933669999999998	0.06724489999999998	0.1890306	0.0425	0.08734689999999999	0.0413265	0.045714300000000006	0.08683669999999999	0.1704082	0.0370408	0.0117347	0.06	0.0227551	0.0382143	0.0633163	0.1119898	0.0856122	0.12591839999999999	0.0953571	0.044693899999999995	0.1	0.045816300000000004	0.1787755	0.035714300000000004	0.11352040000000001	0.0301531	0.049642900000000004	0.20183670000000006	0.0361735	0.13821429999999998	0.1358673	0.1446429	0.06198980000000001	0.0935714	0.0440306	0.020561199999999998	0.0972449	0.04566330000000002	0.07096939999999999	0.0241837	0.0315306	0.0590306	0.0621429	0.1773469	0.0523469	0.0495918	0.0909694	0.0487755	0.087602	0.1242347	0.0642857	0.039949	0.059744900000000004	0.060102	0.0639286	0.0348469	0.1487755	0.13326529999999998	0.1070918	0.0372449	0.09775510000000001	0.16392859999999998	0.033010199999999996	0.0361224	0.10704079999999999	0.0578571	0.06642860000000002	0.0869898	0.0337755	0.1557653	0.07964289999999999	0.0697959	0.09852040000000001	0.06295919999999999	0.0561735	0.0798469	0.0955612	0.15081630000000001	0.0638776	0.1059184	0.0428061	0.08663269999999999	0.1035714	0.051479599999999986	0.08918369999999999	0.0385204	0.1052551	0.0652551	0.062602	0.0632653	0.09448980000000001	0.0428571	0.0441327	0.0852551	0.16683670000000006
OtherN	0.0408673	0.0	0.0	0.10974489999999999	0.0	0.1139796	0.0905102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0375	0.1275	0.0	0.0687245	0.0	0.0	0.0347959	0.0	0.0	0.0	0.0	0.0	0.0	0.0359184	0.0	0.0425	0.0	0.035	0.0	0.0	0.0	0.0354082	0.0	0.0	0.0	0.0	0.1308163	0.0	0.0	0.0	0.0334694	0.07346939999999999	0.0903571	0.0	0.0	0.0	0.0	0.044183700000000006	0.0	0.0	0.0	0.0	0.0818367	0.055102000000000005	0.0	0.0	0.0	0.0359184	0.046275500000000004	0.0	0.0	0.0	0.14510199999999998	0.0387755	0.0	0.0	0.1536224	0.0	0.0765816	0.0	0.07198980000000002	0.0	0.0	0.17132650000000002	0.0	0.17005099999999998	0.0884184	0.0	0.09204079999999999	0.0	0.0	0.0	0.0	0.0	0.0388776	0.0	0.0842857	0.0	0.0	0.0909694	0.0	0.0	0.0381633	0.039591799999999996	0.0342347	0.07051019999999998	0.0	0.0	0.028979599999999998	0.0	0.0	0.0	0.0369898	0.0447959	0.0	0.0	0.0	0.0	0.1329592	0.0	0.0	0.0	0.0463265	0.1458163	0.0	0.0364796	0.037806099999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.09142860000000001	0.0	0.0	0.0	0.1332143	0.0335714	0.0	0.0	0.0	0.0	0.0	0.0	0.0486735	0.0	0.0	0.0	0.0	0.1293878	0.0	0.0	0.099898	0.0	0.0	0.0	0.0809694	0.2283673	0.0811224	0.0363776	0.1270918	0.1313265	0.0	0.0	0.0	0.1118367	0.0	0.0	0.0	0.0	0.0417347	0.03943880000000001	0.0632143	0.0504082	0.0	0.0	0.0	0.0	0.08275510000000001	0.1163265	0.0	0.0	0.0	0.0	0.0	0.0	0.0328571	0.0	0.0	0.0	0.0	0.0	0.0	0.050867300000000004	0.0327551	0.0	0.0	0.0	0.0	0.0	0.0	0.0503061	0.07270410000000001	0.042653100000000006	0.0364796	0.0	0.035867300000000005	0.0	0.0	0.0	0.041428599999999996	0.0	0.0333163	0.0	0.0	0.03576530000000001	0.036785700000000005	0.0	0.0	0.0	0.0	0.0442857	0.0	0.0	0.1491837	0.0	0.0	0.069898	0.0	0.0	0.036275499999999995	0.0	0.0407653	0.0	0.0	0.0	0.1161735	0.0365816	0.0	0.0	0.0726531	0.0	0.0	0.1337755	0.04081630000000001	0.0	0.0822449	0.0	0.0563776	0.0	0.0	0.05352040000000002	0.0	0.0387245	0.0	0.0397959	0.0	0.1205102	0.0	0.114949	0.0	0.0	0.0	0.043010199999999985	0.0	0.038979599999999996
BG	0.8385715	0.8820918	0.9589286	0.7623469	0.9042347	0.8441326	0.8664796	0.7781122	0.9464796	0.8964795999999999	0.9552551	0.9618878	0.9384694	0.9620918	0.7327551	0.7774490000000001	0.9233163	0.8056122	0.9102041	0.9259694	0.9357653	0.9664286	0.8601531	0.9237245000000001	0.9043367	0.9490306	0.8619388	0.9018367	0.9786735	0.857551	0.9841837	0.9242857	0.9395918	0.9421429	0.937602	0.8897449	0.857398	0.9586735	0.902398	0.9538265	0.7772449	0.9329082	0.8457143	0.9741327	0.9033163	0.8136734999999999	0.8104082	0.9115816	0.9185204	0.9094898	0.9164286	0.9139796	0.7593367	0.9359694000000001	0.8907653	0.9180102	0.7186735	0.8665817	0.9729082	0.9047449	0.9686735	0.9133163	0.814949	0.9373469	0.9272449	0.9732143	0.7708674	0.8629592	0.9327041	0.9194388	0.712449	0.9622959	0.8507142999999999	0.9542347	0.8632143	0.9492347	0.9248469	0.7542857	0.8591837	0.6731123	0.8272449	0.9433673	0.7990816000000001	0.8052551	0.8796939	0.9142857	0.5753571	0.9029592	0.825	0.8955102	0.8089796	0.2862245	0.627704	0.8275	0.8907653	0.8567347000000001	0.9046428	0.927449	0.8443366999999999	0.8847449000000001	0.9690816	0.9189796	0.8853061	0.9171939	0.924898	0.8417857	0.8283163	0.827347	0.8925	0.852398	0.9347959	0.9056633000000001	0.7593367	0.9207143	0.9360204	0.9614286	0.7651021	0.7359694	0.9334694	0.9309184	0.8303572	0.9382143000000001	0.9112755	0.957398	0.9139286	0.8947959	0.9705102	0.7435714	0.9848469	0.8516327	0.9658163	0.7613265	0.9438266	0.5031121999999999	0.9417347	0.9246939	0.8082142999999999	0.8619388	0.967449	0.8478061	0.9586224	0.9259184	0.9196429	0.892551	0.7866835999999999	0.9031122	0.9410204	0.8244898	0.9352041	0.7854592	0.897398	0.7594388000000001	0.2935715000000001	0.41693879999999994	0.9159693	0.7760715	0.7880102	0.9556122	0.9120918	0.9554082	0.794949	0.9198469	0.9287755	0.8953061	0.9603571	0.8353571	0.8812245	0.8695408	0.7605611999999999	0.9575	0.9126531	0.9586735	0.9542857	0.8304081999999999	0.7132653	0.9629592	0.9882653	0.94	0.9772449	0.9617857	0.9366837	0.8551531	0.9143878	0.8740816	0.5103062	0.9553061	0.9	0.9541837	0.7703572	0.9315306	0.8864796	0.9698469	0.9503571	0.7981632999999999	0.9638265	0.8617857	0.8138266000000001	0.782653	0.8953571	0.869949	0.9559694	0.9435715	0.9027551	0.9543367	0.9290306	0.9343877	0.9684694	0.9076531	0.9378571	0.8226531	0.9118878	0.9136225	0.9090306	0.9512245	0.912398	0.5181122	0.8914286	0.6243367	0.9402551	0.7907143	0.9360714	0.9651531	0.7813265	0.8667347000000001	0.8929082	0.9264796	0.9022449	0.7953061	0.9669898	0.9638776	0.8929592	0.8259694	0.8969898	0.9130102	0.9662245	0.7715816	0.9203571	0.9302041	0.7677041	0.8962245	0.9438265	0.8379082	0.9044388	0.7928061	0.9361224	0.8940816	0.5563266	0.9133673	0.07683679999999993	0.9485204	0.4723469	0.9614796	0.7742347	0.9347449	0.822449	0.9367347	0.9055101999999999	0.9571429	0.3260714	0.9147449	0.7941836999999999
