	6.953_23.987	14.028_24.027	21.937_12.021	25.975_25.964	26.948_11.014	18.932_12.027	24.037_13.033	6.986_23.004	20.93_27.902	20.953_24.962	5.942_14.984	6.951_13.076	27.904_30.889	23.096_24.001	27.897_11.006	6.953_10.087	28.899_13.061	10.006_21.975	25.869_12.081	20.019_23.932	7.008_22.013	12.068_11.075	13.026_10.074	24.987_26.975	18.913_22.919	13.999_10.106	3.941_12.102	25.886_23.992	9.035_8.065	18.94_25.917	23.984_9.976	24.021_25.955	26.922_15.926	20.002_14.993	9.976_12.054	20.94_25.94	13.027_8.071	7.982_27.956	24.938_9.049	5.012_13.058	5.932_11.05	13.059_22.984	7.953_8.041	24.986_13.049	25.868_9.062	7.085_29.029	5.985_26.938	5.982_13.045	27.902_9.985	4.965_11.032	9.955_11.051	7.95_10.026	23.084_15.979	10.932_22.963	5.963_9.064	23.021_27.955	5.982_21.999	9.034_12.037	7.985_11.048	13.042_13.071	9.054_13.024	26.963_28.924	7.964_23.961	21.929_23.941	9.962_9.072	20.024_24.95	9.983_26.971	20.001_14.021	24.021_24.977	24.969_10.037	5.008_10.043	5.962_12.05	5.928_23.964	25.876_14.011	27.92_12.013	13.104_26.0	7.944_12.017	7.99_20.977	9.072_25.954	25.012_28.936	24.019_26.938	9.986_24.997	27.868_25.917	5.017_22.004	18.904_24.926	18.892_23.932	6.969_25.987	4.991_12.058	10.984_12.056	9.925_8.071	13.912_8.088	12.088_13.066	5.948_14.0	9.981_23.989	28.879_10.996	26.94_12.018	8.013_28.949	26.896_14.953	18.942_11.015	26.95_29.895	25.866_15.012	14.909_24.023	21.904_9.01	12.066_9.104	5.907_10.079	24.969_11.026	9.04_11.026	6.964_21.032	21.933_15.949	20.931_13.962	10.964_9.063	14.039_26.051	20.924_8.995	2.075_12.077	20.928_14.977	12.143_22.022	10.987_20.959	12.069_24.002	11.001_25.985	28.896_12.037	9.963_14.017	14.915_10.108	27.882_24.937	20.037_25.931	20.007_9.039	23.991_9.036	24.035_23.984	3.969_13.107	25.89_26.983	20.951_23.933	20.937_13.0	6.964_25.008	27.908_27.96	21.912_13.969	25.001_29.964	12.046_10.086	7.013_28.024	6.961_16.039	24.016_12.015	7.936_15.967	6.936_11.09	9.994_25.995	22.993_10.055	7.935_9.032	7.953_15.011	7.994_22.949	23.062_11.048	24.999_30.949	20.924_22.967	26.949_12.999	21.948_10.025	25.874_13.043	13.062_25.01	24.967_14.008	25.886_28.967	12.099_26.023	13.061_14.021	9.047_10.011	14.919_23.025	13.059_24.023	23.042_15.038	25.906_11.042	3.958_10.091	6.945_12.081	6.948_17.039	26.923_30.852	23.066_29.01	26.959_23.943	7.988_26.939	20.015_10.02	23.033_23.01	10.978_10.067	20.935_26.946	26.994_26.929	17.907_11.079	12.033_8.091	24.047_28.942	25.911_25.0	20.942_11.991	9.102_23.964	19.991_27.914	9.02_9.045	23.036_12.06	25.879_15.983	20.958_21.897	14.018_12.104	9.944_22.965	27.862_14.918	25.917_29.957	9.042_6.989	25.875_23.04	14.882_9.112	20.947_10.049	26.919_24.931	5.945_22.972	26.968_27.936	21.904_11.019	24.993_27.959	20.049_11.011	10.95_15.015	3.951_22.988	24.958_12.047	24.976_14.993	21.95_13.002	14.021_25.05	20.032_12.987	4.99_23.968	10.005_20.989	23.995_27.933	11.001_21.978	28.868_9.995	23.101_29.945	26.939_13.981	20.002_12.017	23.081_25.989	21.948_25.933	13.038_11.092	10.954_11.075	26.941_25.917	7.97_25.95	9.067_26.954	4.991_14.924	7.962_21.973	25.002_23.987	21.947_26.934	23.041_26.967	19.998_22.939	12.04_14.063	26.953_9.991	3.931_9.122	12.066_12.087	21.938_21.91	9.056_13.992	10.979_25.001	5.944_25.963	9.072_22.95	27.897_26.928	9.936_10.059	14.043_13.093	7.956_13.991	9.04_24.97	10.92_8.068	9.083_27.951	9.054_21.987	19.984_26.933	6.948_15.029	4.984_9.069	13.996_23.024	9.078_15.017	20.929_15.948	13.967_9.104	17.874_23.987	18.901_9.954	23.985_13.995	26.925_9.025	24.017_14.998	6.967_26.984	12.077_23.013	21.93_14.98	3.062_24.041	7.962_24.973	6.946_9.077	12.053_24.999	5.003_22.958	6.941_14.01	7.955_13.016	20.91_11.006	10.948_26.981	23.047_9.071	27.904_13.942	5.988_21.013	12.081_27.027	5.865_8.035	10.968_13.997	23.038_14.026	23.027_25.002	24.943_15.973	4.989_24.964	3.931_11.118	10.965_23.973	12.062_15.05	3.006_11.117	21.958_24.955	13.074_12.084	9.972_15.008	5.005_14.032	13.063_26.953	24.013_29.935	24.017_15.968	23.055_13.051	14.009_11.116	13.044_9.103	24.051_30.92	25.932_30.968	5.966_24.976	25.919_10.062	27.866_23.914	24.982_8.03
MN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5251531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1478061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4466327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4680102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glia	0.0421939	0.0404592	0.10698980000000001	0.040255099999999995	0.0670408	0.018571400000000002	0.0766327	0.1105612	0.029744900000000005	0.045102	0.1061224	0.0971939	0.027448999999999998	0.0557653	0.059898	0.0765306	0.040612199999999994	0.034898	0.0861224	0.1017347	0.0230102	0.0463265	0.0994898	0.050612199999999996	0.0184694	0.049846900000000006	0.035102	0.017449	0.0336735	0.041428599999999996	0.189949	0.1507653	0.0937245	0.09142860000000001	0.1658163	0.0256122	0.0266327	0.1251531	0.026275499999999997	0.0367347	0.08086730000000002	0.0353061	0.0395408	0.06933669999999999	0.08515310000000001	0.1177551	0.0601531	0.0438265	0.0143367	0.145051	0.0843878	0.0713265	0.0172449	0.036428600000000005	0.04698980000000001	0.0696939	0.0619388	0.16642859999999998	0.087551	0.08454080000000001	0.07561219999999999	0.0277551	0.08933669999999999	0.0298469	0.0243878	0.0659184	0.0255612	0.0817347	0.135	0.0404592	0.1057143	0.09265309999999999	0.047091799999999996	0.036071399999999997	0.011887799999999999	0.1013776	0.0453571	0.0456122	0.1140816	0.0525	0.07505099999999999	0.089949	0.0527551	0.016275500000000002	0.022449	0.0301531	0.062244900000000006	0.07096939999999999	0.043163300000000016	0.051836699999999986	0.052704100000000004	0.0382653	0.08005100000000001	0.34408159999999993	0.024336700000000003	0.0654082	0.0670918	0.0266327	0.069949	0.0220408	0.0745918	0.09801019999999999	0.041632699999999995	0.0838265	0.0494388	0.0372449	0.1392857	0.027244900000000002	0.0847449	0.027551000000000003	0.06433669999999998	0.0811224	0.059693899999999994	0.06780610000000001	0.08933669999999999	0.0628061	0.024744900000000004	0.052040800000000005	0.1134694	0.049285699999999995	0.0906122	0.0353061	0.050102	0.0516327	0.0313776	0.08316330000000001	0.0427551	0.0355102	0.0580612	0.035663299999999995	0.052602	0.0667857	0.0404082	0.06765310000000001	0.0512245	0.1096429	0.1822959	0.12198980000000001	0.0617857	0.060102	0.12913270000000002	0.034591800000000006	0.0546939	0.064898	0.17505099999999998	0.09765309999999999	0.0746939	0.03693880000000001	0.0311735	0.0292347	0.07607139999999998	0.020867300000000002	0.049846900000000006	0.14801019999999998	0.034438800000000006	0.09841839999999999	0.1908163	0.0712245	0.0515816	0.0625	0.0327041	0.06066330000000002	0.025	0.1028061	0.1188265	0.0196939	0.015561200000000002	0.0391327	0.11581630000000001	0.0675	0.1163776	0.119949	0.0486735	0.0402041	0.0422959	0.0286735	0.0619388	0.0645918	0.0646429	0.1021429	0.0419388	0.1019388	0.08586730000000001	0.08836730000000002	0.06433669999999998	0.05081630000000001	0.08704080000000002	0.052398	0.0212245	0.0735204	0.0486735	0.05	0.026428600000000003	0.0790306	0.0391837	0.0294388	0.0627041	0.058214300000000004	0.059489800000000016	0.1279592	0.0590306	0.067602	0.09484690000000001	0.05591840000000001	0.0293878	0.0538776	0.0405612	0.0587755	0.0634184	0.0662755	0.0478571	0.0435714	0.050612199999999996	0.0397449	0.08357139999999999	0.048622399999999996	0.10377549999999999	0.0630612	0.0371429	0.1161735	0.07301019999999998	0.06622449999999999	0.07479589999999998	0.057449	0.0339286	0.0170408	0.0620918	0.11336729999999999	0.040050999999999996	0.04	0.06642860000000002	0.044693899999999995	0.020102000000000002	0.0580612	0.0430612	0.054846900000000004	0.0178061	0.0534694	0.09280609999999999	0.07015310000000001	0.12994899999999998	0.0358163	0.0438265	0.0247959	0.07505099999999999	0.2153061	0.045102	0.0298469	0.0542857	0.1692857	0.0667857	0.07433669999999998	0.0589286	0.0852041	0.0321429	0.1423469	0.1386735	0.0608673	0.09795920000000001	0.0437755	0.0921429	0.0440306	0.0631122	0.0334694	0.0904082	0.0668878	0.0869388	0.15581630000000002	0.05831630000000001	0.0456122	0.0331633	0.1153571	0.0944388	0.08668369999999999	0.1031122	0.10454079999999999	0.15301019999999999	0.040612199999999994	0.029897999999999997	0.048979599999999984	0.1589286	0.074949	0.084898	0.0588265	0.020510200000000003	0.0552041	0.2140306	0.0314286	0.1138265	0.1864286	0.0515816	0.070051	0.026020400000000003	0.054897999999999995	0.0496939	0.045714300000000006	0.0420408	0.0757143
OtherN	0.0	0.0	0.0943367	0.06448980000000001	0.0	0.0	0.1484694	0.0	0.0	0.0396429	0.0372959	0.1463265	0.0	0.0366837	0.0	0.07841839999999999	0.0	0.0	0.1580102	0.0538776	0.0	0.037806099999999995	0.043112199999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032551000000000004	0.0	0.0	0.1242347	0.0	0.0	0.11892860000000001	0.0	0.0	0.07392860000000001	0.0	0.0	0.1727551	0.0	0.0	0.0381633	0.0	0.0	0.0452041	0.2066837	0.0	0.0	0.0897959	0.0	0.0	0.0226531	0.0	0.1869388	0.0404592	0.0	0.0	0.0353061	0.2377551	0.0	0.0	0.0	0.0	0.0954082	0.0	0.0	0.042602	0.0	0.1208163	0.0373469	0.0	0.0388265	0.0	0.06974489999999998	0.07377550000000001	0.0	0.0	0.0327551	0.0	0.0	0.0	0.0513776	0.0	0.1917857	0.0	0.0	0.0811735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07816330000000002	0.0	0.0	0.0	0.0	0.0770918	0.0	0.0	0.0421939	0.1435714	0.032602	0.0	0.0	0.0	0.0	0.0	0.0	0.0409184	0.0	0.07474489999999999	0.0	0.0	0.1227041	0.0	0.0436224	0.04	0.0	0.0	0.0	0.043112199999999996	0.0	0.07964289999999999	0.0	0.0	0.0	0.0783673	0.1478571	0.0	0.0	0.14433669999999998	0.0	0.0	0.0768878	0.028418400000000003	0.0882653	0.0	0.0563265	0.07474489999999999	0.0	0.0	0.0	0.0	0.0325	0.0	0.0487755	0.0333163	0.0	0.0	0.0	0.16867349999999998	0.0	0.0	0.041989800000000015	0.0	0.0	0.0	0.0	0.0	0.0436224	0.09265309999999999	0.0746939	0.0	0.0	0.08566330000000001	0.0328061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044387800000000005	0.0	0.0340306	0.0	0.0742857	0.0757143	0.0	0.16260200000000002	0.0	0.0410714	0.08147960000000001	0.0652041	0.0	0.0	0.0	0.0	0.0334694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0838265	0.0778061	0.0328061	0.1095918	0.0	0.0	0.072398	0.0	0.0	0.0608673	0.0	0.0	0.0	0.061275500000000004	0.0	0.0	0.18147960000000002	0.0	0.0	0.0	0.0	0.0	0.070051	0.125102	0.0	0.0	0.0	0.0	0.07698980000000001	0.0	0.0466837	0.0	0.043673500000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0310204	0.025918400000000005	0.14326529999999998	0.0	0.0509694	0.0	0.1225	0.0	0.0321429	0.1660714	0.054949000000000005	0.1518367	0.0	0.0	0.0	0.19392859999999998	0.0	0.0	0.0366837	0.0732653	0.14755100000000002	0.0	0.0	0.042398	0.157602	0.0	0.0363265	0.0	0.0	0.0	0.06005099999999999	0.0	0.17316329999999994	0.0	0.0	0.029591799999999998	0.0	0.0	0.0	0.0	0.0	0.0
BG	0.9578061	0.9595408	0.7986735	0.8952551	0.9329592	0.9814286	0.7748979	0.8894388	0.9702551	0.9152551	0.8565817	0.7564796	0.972551	0.907551	0.940102	0.845051	0.9593878	0.965102	0.7558674000000001	0.8443877	0.9769898	0.9158674	0.857398	0.9493878	0.9815306	0.9501531	0.964898	0.982551	0.9663265	0.9585714	0.810051	0.8166837	0.9062755	0.9085714	0.7099489999999999	0.9743878	0.9733673	0.7559183	0.9737245	0.9632653	0.8452040999999999	0.9646939	0.9604592	0.7579082	0.9148469	0.8822449	0.9016836	0.9561735	0.9856633	0.8097449	0.7089285000000001	0.9286735	0.9827551	0.8737755	0.9530102	0.9303061	0.9154081000000001	0.8335714000000001	0.7255102	0.875	0.9243878	0.9722449	0.8753572000000001	0.732398	0.9756122	0.9340816	0.9744388	0.9182653000000001	0.7695917999999999	0.9595408	0.8942857	0.8647449	0.9529082	0.8431123	0.9507653	0.8986224	0.9158164	0.9543878	0.8161735	0.8737245	0.924949	0.9100509999999999	0.9144898	0.9837245	0.977551	0.9698469	0.8863775	0.9290306	0.7650509999999999	0.9481633	0.9472959	0.8805612	0.919949	0.6559184	0.9756633	0.9345918	0.9329082	0.9733673	0.930051	0.9779592	0.9254082	0.9019898	0.9583673	0.9161735	0.9505612	0.9627551	0.8607142999999999	0.9727551	0.9152551	0.8942857	0.9356633	0.9188776	0.9403061	0.9321939	0.8335715	0.9371939	0.9752551	0.9057653	0.7429592	0.9181123	0.9093878	0.9646939	0.949898	0.9483673	0.9686224	0.9168367	0.9163265	0.9644898	0.8671939	0.9643367	0.947398	0.8105102	0.9595918	0.8887245	0.9087755	0.365204	0.8177041	0.8780102	0.8951021	0.939898	0.7912243999999999	0.9654081999999999	0.9453061	0.935102	0.7465817	0.6066837	0.9253061	0.9630612	0.8244898	0.9707653	0.9239286	0.9022449	0.9217347	0.7637245	0.9655612	0.8452551	0.7344388	0.9287755	0.9484184	0.9375	0.9672959	0.9068366999999999	0.975	0.8484184	0.8478572	0.9803061	0.9844388	0.9608673	0.7155102	0.9325	0.8836224	0.8380612	0.9513265	0.9597959	0.9577041	0.9713265	0.9380612	0.8917858	0.842704	0.8231632	0.9580612	0.8980612	0.8284693999999999	0.8788266	0.9356633	0.9491837	0.9129592	0.947602	0.9787755	0.9264796	0.9513265	0.95	0.9291836	0.9209693999999999	0.9267856999999999	0.9705612	0.8630102	0.8660714	0.9405102	0.7094388	0.9409694	0.8913266	0.8236735	0.8788775	0.9706122	0.9461224	0.9594388	0.9412245	0.9031122	0.9337245	0.9521429	0.9564286	0.9493878	0.9602551	0.9164286	0.9513776	0.8962245	0.8531123	0.885051	0.8510204	0.8173980000000001	0.9337755	0.9252041	0.870153	0.9660714	0.9829592	0.8770409	0.8866327	0.959949	0.96	0.8722959	0.9553061	0.979898	0.7604592	0.9569388	0.9451531	0.9821939	0.9465306	0.9071939	0.8597959	0.7449490000000001	0.9641837	0.9561735	0.9752041	0.924949	0.7077041	0.954898	0.9234694	0.9457143	0.7870408	0.9332142999999999	0.9256633000000001	0.9410714	0.9147959	0.9678571	0.8576531000000001	0.8303061	0.9132143	0.7587755	0.9562245	0.8568877	0.9559694	0.8143878	0.9665306	0.8774489	0.7670408	0.8581122	0.24571429999999994	0.9416837	0.9543878	0.9668367	0.6907143	0.9055612	0.9133163	0.8602041	0.8221939	0.6994388	0.9593878	0.970102	0.9086224	0.6834694	0.925051	0.8787755	0.9411735	0.9794898	0.9447959	0.7259184000000001	0.9685714	0.7130102	0.3455612	0.9484184	0.9003572	0.9739796	0.945102	0.9503061	0.9542857	0.9579592	0.9242857
