	9.097_24.068	9.013_12.085	28.0_30.036	29.916_11.093	31.987_24.003	31.061_23.999	31.078_27.99	28.88_8.125	10.039_30.025	25.932_25.094	5.939_14.097	13.007_11.148	14.955_11.168	14.04_27.077	27.012_30.048	9.937_12.098	13.121_29.058	12.126_28.056	24.044_26.072	14.988_28.121	13.062_27.073	7.974_26.044	10.967_15.072	29.945_25.998	28.881_10.138	7.902_15.049	9.963_25.078	27.981_28.044	31.026_25.011	12.039_11.164	30.983_9.118	13.056_25.048	7.985_27.002	31.1_25.988	26.982_23.03	31.047_22.995	12.039_15.116	24.05_24.063	26.959_10.102	29.99_27.98	10.956_14.116	28.909_22.01	27.894_14.081	10.011_23.028	27.968_26.074	28.996_29.039	14.03_25.087	32.055_28.965	23.043_10.126	14.081_29.031	25.906_9.199	9.96_24.082	28.956_27.036	7.932_12.075	31.939_9.099	6.935_27.097	24.982_9.172	31.994_26.991	14.04_26.087	10.945_9.11	31.991_25.009	12.063_13.13	12.166_29.064	13.977_12.148	12.088_26.1	27.885_12.122	21.933_12.111	27.949_22.042	10.944_10.154	24.136_28.02	12.133_31.02	25.902_11.15	9.125_28.002	9.116_29.012	16.07_29.038	26.964_11.081	9.941_15.088	6.862_11.177	31.104_28.994	12.048_9.167	30.986_8.105	12.03_14.136	5.926_12.072	31.111_27.001	30.994_10.077	3.936_12.154	31.909_8.128	12.095_27.074	29.894_9.098	31.997_28.011	5.878_9.077	27.901_10.135	26.967_9.15	16.004_27.049	23.068_11.151	3.914_10.195	31.968_23.008	31.945_10.094	5.948_11.178	24.996_12.195	9.028_14.058	4.983_14.098	13.981_10.182	28.935_23.047	5.938_13.112	28.897_12.118	10.057_31.021	10.95_12.07	30.997_7.125	9.048_25.057	12.023_12.153	9.937_10.178	11.011_31.99	28.923_15.107	31.963_21.976	22.019_28.06	24.088_27.058	24.994_10.151	31.908_11.075	6.941_26.103	26.977_8.152	8.992_9.124	27.909_15.092	25.95_27.074	10.964_16.046	9.955_16.092	12.072_25.091	10.988_25.058	27.926_27.023	25.042_27.073	27.9_8.157	29.949_24.006	3.969_13.119	10.0_28.034	11.048_30.009	10.965_11.147	29.042_30.035	4.982_10.121	12.998_10.161	14.0_11.153	28.868_9.158	7.913_11.091	15.011_31.018	24.015_10.095	24.979_11.15	25.893_23.138	13.01_13.123	12.033_10.158	9.073_26.033	29.965_22.011	30.004_28.996	14.954_29.08	6.901_9.202	28.963_26.063	9.961_11.154	7.922_17.011	5.948_15.11	25.044_24.053	11.017_28.99	12.143_7.172	27.913_13.124	9.125_30.989	24.973_8.208	25.888_14.124	29.865_14.036	10.929_8.13	3.921_11.186	7.968_24.102	1.978_14.102	9.044_27.021	7.951_25.052	13.045_14.088	28.989_28.045	6.898_13.148	13.112_28.068	14.926_10.174	12.046_8.17	13.018_12.117	25.907_10.165	13.982_9.201	31.047_22.024	24.994_14.13	13.107_26.082	9.07_8.131	30.948_15.052	27.969_23.027	25.962_24.072	23.053_26.094	10.99_26.07	28.894_13.144	8.998_11.139	28.871_7.151	29.955_22.989	8.043_29.972	8.038_29.0	14.975_27.063	31.939_7.119	16.031_29.993	26.959_12.118	31.006_14.044	15.999_28.029	26.952_13.093	27.034_24.033	24.011_9.114	7.898_14.057	13.035_9.165	5.895_10.221	32.003_25.992	7.907_10.139	11.063_31.011	29.896_10.079	29.943_24.995	26.973_25.979	6.962_25.139	27.056_29.027	27.995_29.043	13.123_31.029	9.057_15.045	14.058_28.079	7.925_13.065	4.972_12.122	26.944_14.076	14.072_30.025	10.988_27.054	9.951_26.085	24.025_11.097	14.916_26.104	12.115_30.027	10.971_24.061	6.882_12.099	4.971_11.125	6.877_14.112	28.948_24.066	25.938_28.076	25.047_29.061	6.893_16.072	27.906_11.127	27.971_24.032	9.936_9.148	6.883_15.103	31.935_13.077	12.041_24.1	29.908_12.074	4.957_15.078	25.911_8.202	24.077_25.079	9.005_23.045	13.023_8.159	9.047_10.125	26.924_15.073	31.031_11.081	24.009_12.13	8.043_28.043	9.917_14.104	27.024_28.013	29.922_13.089	27.944_25.047	28.879_14.065	6.947_17.086	25.09_28.075	9.035_16.065	7.908_16.055	25.892_13.154	31.943_14.069	27.92_9.146	7.0_28.046	24.04_13.125	29.865_8.099	31.931_12.096	26.025_26.071	31.009_13.067	27.036_27.018	28.933_25.042	31.006_12.099	4.991_13.099	24.983_13.159	9.005_13.075	25.006_25.078	26.974_25.019	6.883_10.179	26.0_29.076	25.905_12.183	14.004_13.138	9.988_27.066	29.989_26.984	5.92_16.039	13.121_30.027	28.903_11.133
MN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2422959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024336700000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.4433673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34229590000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3239796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3493878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glia	0.0192347	0.13290820000000003	0.08204080000000001	0.0975	0.0320918	0.0664796	0.0884694	0.0726531	0.061275500000000004	0.0268878	0.051836699999999986	0.0352041	0.020867300000000002	0.014030599999999999	0.1277041	0.11627549999999999	0.0461224	0.059949	0.0227041	0.09821429999999999	0.06801019999999998	0.053775500000000004	0.1458163	0.1338776	0.0355102	0.07270410000000001	0.0865306	0.0901531	0.044898	0.0994898	0.0703571	0.0907653	0.0381122	0.08086730000000002	0.0161224	0.0492347	0.1361735	0.0521429	0.10066330000000001	0.1256122	0.0780612	0.054744900000000006	0.09301019999999999	0.06566330000000002	0.07234689999999999	0.0909694	0.0578571	0.1205102	0.0487245	0.0753061	0.0762245	0.0172449	0.08209179999999999	0.0920918	0.08454080000000001	0.036428600000000005	0.04647959999999998	0.057551	0.025867300000000003	0.0497449	0.053571400000000005	0.06653060000000001	0.0552041	0.0286735	0.06005099999999999	0.1408673	0.012040799999999997	0.0317857	0.0767347	0.0703571	0.06397959999999998	0.040612199999999994	0.0592347	0.1268878	0.0160204	0.0519388	0.060510199999999986	0.0413265	0.1188776	0.08331630000000001	0.0601531	0.08974489999999999	0.0572959	0.0763776	0.053214300000000006	0.0217857	0.0822959	0.0652551	0.0541837	0.1287755	0.08454080000000001	0.1167857	0.028571399999999997	0.0541327	0.059183700000000006	0.0270918	0.061071400000000005	0.042653100000000006	0.06714289999999999	0.059744900000000004	0.09255100000000001	0.056428599999999995	0.0471939	0.021428600000000003	0.0191327	0.1172959	0.16051020000000002	0.0901531	0.0740306	0.06775510000000001	0.08663269999999999	0.049489800000000014	0.1363265	0.0470408	0.062551	0.041479599999999985	0.0193367	0.1029592	0.0929592	0.0316327	0.0425	0.127551	0.1240306	0.044744900000000004	0.0306122	0.0666837	0.0226531	0.0611224	0.0452551	0.050867300000000004	0.0219388	0.0442347	0.054949000000000005	0.1437755	0.052449	0.0348469	0.072602	0.0463265	0.051887800000000005	0.0188265	0.0380102	0.0532653	0.0331633	0.059693899999999994	0.039949	0.0307653	0.0219898	0.07918369999999998	0.0545408	0.0465306	0.11581630000000001	0.0638265	0.0434184	0.2762245	0.072602	0.0946429	0.062551	0.057551	0.0836224	0.105051	0.0773469	0.034591800000000006	0.049183700000000004	0.18989799999999998	0.0835204	0.0572959	0.017653099999999998	0.0362245	0.033265300000000005	0.0559694	0.0529082	0.1209184	0.0720408	0.0528061	0.0743878	0.0565306	0.0262245	0.0409694	0.055255099999999994	0.0340306	0.0281633	0.0637755	0.0288776	0.037602000000000003	0.057346900000000006	0.022959200000000003	0.0547959	0.029897999999999997	0.0763776	0.07918369999999998	0.0326531	0.028622400000000003	0.0540306	0.0906633	0.0927041	0.0613265	0.0382143	0.035561199999999994	0.0529082	0.1542857	0.029897999999999997	0.0978571	0.020051	0.0516327	0.06642860000000002	0.0509184	0.0611224	0.06510200000000001	0.085	0.0863776	0.0254592	0.0683673	0.05433669999999999	0.047755099999999995	0.1030102	0.1180102	0.0554082	0.055	0.0586224	0.1380102	0.053010199999999986	0.1235204	0.049898	0.08311220000000001	0.055153100000000004	0.0733163	0.07525510000000002	0.09469390000000001	0.06857139999999999	0.0666837	0.056479599999999984	0.0577551	0.0370408	0.0385714	0.0412245	0.1241837	0.0792347	0.025918400000000005	0.053010199999999986	0.1321939	0.0762755	0.0427551	0.10683669999999999	0.0391837	0.0606122	0.04234690000000001	0.045102	0.041632699999999995	0.0358163	0.2136735	0.0412755	0.087551	0.0763265	0.0861735	0.062397999999999995	0.05566330000000001	0.0636224	0.0887755	0.1380102	0.0332143	0.0227041	0.1258673	0.0586735	0.14673470000000002	0.0464286	0.0620408	0.0439286	0.0404082	0.1092857	0.0763265	0.082449	0.07566330000000002	0.0311735	0.1109184	0.025408200000000002	0.0495918	0.11341839999999999	0.0795918	0.059336699999999985	0.0363776	0.0396429	0.0868878	0.057449	0.057449	0.0585714	0.1117347	0.0836735	0.0986224
OtherN	0.0	0.0397959	0.10882649999999999	0.1106633	0.0	0.0938265	0.0398469	0.0	0.07479589999999998	0.0	0.0	0.0366837	0.0	0.0	0.0361224	0.0	0.1408163	0.1038265	0.0	0.0555612	0.0	0.0	0.0	0.1641837	0.0	0.0392857	0.0	0.0692347	0.14102040000000002	0.0	0.1179592	0.0	0.0	0.05591840000000001	0.0	0.0	0.0870918	0.0	0.0	0.07801019999999999	0.0437245	0.0	0.38903060000000006	0.0	0.06846939999999999	0.0	0.0	0.0	0.0	0.0380102	0.0	0.0	0.0	0.19816330000000001	0.0388776	0.0	0.0	0.07392860000000001	0.0	0.0	0.08602039999999998	0.0404592	0.07775510000000002	0.0	0.0	0.06198980000000001	0.0	0.0	0.0	0.0	0.0	0.044898	0.1209694	0.0733673	0.0	0.0	0.0	0.0	0.0	0.043163300000000016	0.0381122	0.1192347	0.0888265	0.0	0.08163269999999999	0.0	0.0	0.0	0.0	0.035612200000000004	0.0	0.0425	0.0	0.0	0.0	0.0	0.0404592	0.0790816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05081630000000001	0.0438265	0.0	0.0315816	0.1	0.0	0.08704080000000002	0.0	0.0	0.0	0.0	0.0	0.1229082	0.0	0.0	0.0	0.0786224	0.0586735	0.0	0.0	0.0	0.0	0.1086224	0.0	0.0	0.0391327	0.0	0.1190306	0.0	0.07561219999999999	0.0	0.0	0.1341327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044336699999999986	0.0	0.0	0.0	0.0	0.0	0.0484184	0.0	0.0	0.0	0.1288265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07683669999999998	0.0	0.0890306	0.0	0.072602	0.1213265	0.0	0.0	0.0	0.043367300000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0741327	0.0	0.0	0.0	0.0	0.0312755	0.0	0.0	0.0	0.1097959	0.19704080000000002	0.0	0.0440816	0.0	0.0	0.1029082	0.0	0.0	0.0	0.0	0.0	0.0	0.07698980000000001	0.0790816	0.0380102	0.1551531	0.1922449	0.0	0.0	0.0301531	0.055050999999999996	0.07183669999999999	0.044336699999999986	0.04551019999999999	0.17270410000000003	0.0804592	0.0	0.0	0.0494388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04688780000000001	0.0	0.0	0.0	0.0	0.1278571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1567347	0.0790306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1204592	0.11015309999999999	0.0	0.037551	0.0	0.0	0.12260199999999999	0.0	0.1196429	0.0434694	0.0	0.07	0.0	0.0	0.041428599999999996	0.1227041	0.0	0.0	0.0	0.0538776	0.0	0.0471939	0.1552041	0.08147960000000001	0.0	0.28132650000000003
BG	0.9807653	0.8272959	0.8091326999999999	0.7918367	0.9679082	0.8396939	0.8716837	0.9273469	0.8639286	0.9731122	0.9481633	0.9281121999999999	0.9791327	0.9859694	0.8361735	0.8837245	0.8130613	0.8362244999999999	0.9772959	0.8462245	0.9319898	0.9462245	0.8541837	0.7019387	0.9644898	0.8880102	0.9134694	0.8406122	0.8140816	0.9005102	0.5693878	0.9092347000000001	0.9618878	0.8632143	0.9838776	0.9507653	0.7767347	0.9478571	0.8993367	0.7963776	0.8782143	0.9452551	0.49362249999999996	0.9343367	0.8591837	0.9090306	0.9421429	0.8794898	0.9512755	0.44331639999999994	0.9237755	0.9827551	0.9179082000000001	0.7097449	0.8765816	0.9635714	0.9535204	0.8685204	0.9741327	0.9502551	0.8604082	0.8930102	0.8670408	0.9713265	0.939949	0.7971429	0.9879592	0.9682143	0.9232653	0.9296428999999999	0.9360204	0.9144898	0.8197959	0.7997449	0.9839796	0.9480612	0.9394898	0.9586735	0.8811224	0.8735204	0.9017347	0.7910204000000001	0.8538776	0.9236224	0.8651530000000001	0.9782143	0.9177041	0.9347449	0.9458162999999999	0.8356123	0.9154592	0.8407143	0.9714286	0.9458673	0.9408163	0.9729082	0.8984694	0.8782653	0.9328571	0.9402551	0.907449	0.9435714	0.9528061	0.9785714	0.9808673	0.8827041	0.7886735	0.8660204	0.9259694	0.9006633	0.8133673	0.9505102	0.7766327	0.9529592	0.937449	0.9585204	0.9806633	0.8970408	0.7841326	0.9683673	0.9575	0.872449	0.797347	0.8965816	0.9693878	0.9333163	0.9773469	0.9388776	0.8461225	0.9491327	0.9780612	0.5743366999999999	0.945051	0.7371939000000001	0.947551	0.8895409	0.927398	0.9536735	0.8139795	0.9811735	0.9619898	0.9467347	0.9668367	0.9403061	0.960051	0.9692347	0.9780102	0.9208163	0.9011225	0.9534694	0.8841837	0.9361735	0.9565816	0.7237755	0.8789796	0.9053571	0.937449	0.942449	0.7875511	0.894949	0.9226531	0.9654081999999999	0.9508163	0.810102	0.9164796	0.9427041	0.9823469	0.9637755	0.9667347	0.8671939	0.9470918	0.7900510000000001	0.9279592	0.8745919	0.8042857	0.9434694	0.9737755	0.9590306	0.9013776	0.9659694	0.9718367	0.9362245	0.9711224	0.962398	0.9426531	0.9770408	0.9452041	0.970102	0.9236224	0.8466836	0.9673469	0.9713776	0.9459694	0.9093367	0.8760204	0.9386735	0.9617857	0.9644388	0.8372959	0.6486735	0.970102	0.8580613	0.979949	0.9483673	0.8306632	0.9490816	0.9388776	0.934898	0.915	0.9136224	0.9745408	0.8546429	0.8665817	0.9142347	0.7418367	0.6897449	0.9445918	0.945	0.9112245	0.8069388	0.8751531	0.8321429	0.9045918000000001	0.7441837	0.8643877	0.9266837	0.9247449	0.8558673	0.9314286	0.6093367000000001	0.9435204	0.9422449	0.9629592	0.9614286	0.9587755	0.8289285	0.9207653	0.9740816	0.9469898	0.8678061	0.7958674	0.9572449	0.8931633	0.9608163	0.9393878	0.9576531	0.954898	0.9583673	0.9641837	0.6295918	0.8796939	0.912449	0.9236735	0.9138265	0.937602	0.9443367	0.9363776	0.9112245	0.8619898	0.9667857	0.9772959	0.8741327	0.8208673	0.7431122	0.9535714	0.9004082	0.9560714	0.9595918	0.7681123000000001	0.9236735	0.7979081	0.5314795	0.9688265	0.8190816	0.9745918	0.9504082	0.845153	0.7977041	0.9406633	0.9636224	0.9603571	0.8592346	0.942551	0.8953571	0.7862245	0.8067857	0.9163265	0.6200511
