mmu00010	100042025,103988,106557,110695,11522,11529,11532,11669,11670,11671,11674,11676,12183,13382,13806,13807,13808,14120,14121,14377,14378,14433,14447,14751,15275,15277,16828,16832,16833,17330,18534,18597,18598,18641,18642,18648,18655,18663,18746,18770,212032,216019,21991,226265,230163,235339,26876,319625,353204,433182,56012,56421,56752,56847,58810,60525,621603,66681,67689,68263,68401,68738,72141,72157,72535,73458,74551,
mmu00020	104112,11428,11429,12974,13382,14194,15926,15929,170718,17448,17449,18293,18534,18563,18597,18598,20916,20917,235339,239017,243996,269951,56451,66052,66925,66945,67680,67834,68263,71832,74551,78920,
mmu00030	100198,110208,110639,11674,11676,14120,14121,14380,14381,14751,18641,18642,19139,19733,19895,21351,21881,230163,232449,235582,328099,353204,56421,66171,66646,66681,71336,72157,74419,75456,75731,83553,
mmu00040	100559,100727,102448,110006,112417,11677,11997,14187,16591,20322,216558,22235,22236,22238,231396,243085,394430,394432,394433,394434,394435,394436,552899,58810,66646,67861,67880,68631,71755,71773,72094,75847,94215,94284,
mmu00051	110119,11674,11676,11677,11997,14120,14121,14187,15275,15277,16548,170768,18639,18640,18641,18642,20322,212032,216019,218138,21991,22122,225913,230163,234730,270198,29858,319801,331026,353204,54128,56421,67861,69080,75540,
mmu00052	103988,11605,11677,11997,12091,14187,14377,14378,14387,14430,14595,14635,15275,15277,16770,18641,18642,212032,216019,216558,226413,232714,319625,53418,56421,66681,67861,68401,69983,72157,74246,76051,
mmu00053	100559,100727,110695,112417,11669,11671,19733,22235,22236,22238,231396,243085,268756,394430,394432,394433,394434,394435,394436,552899,56727,56752,71773,72094,72535,94215,94284,
mmu00061	100705,107476,14081,14104,216739,223722,328845,433256,50790,71147,74205,78625,94180,99035,
mmu00062	106529,12686,15107,170439,171210,171281,171282,19063,216169,217698,226016,231086,26897,26922,30963,52538,54325,54326,54397,56348,57874,66198,66775,68801,70025,70178,70757,74559,75778,83603,93747,97212,
mmu00071	100040843,110446,110460,110695,11363,11364,11370,113868,11409,11430,11522,11529,11532,11669,11671,12894,12895,12896,13117,13118,13119,13177,14081,15107,216739,230639,231086,235674,23986,26876,270076,277753,328845,433256,435802,50790,52538,56752,666168,66885,69123,72535,74147,74205,78070,78625,80911,93747,94180,97212,
mmu00072	110446,110460,15356,15360,208715,208982,353371,64059,67041,69772,71911,
mmu00100	12613,13081,13115,13121,13360,13595,14137,15490,16889,16987,18194,20652,20775,223920,235293,244209,66234,73166,74754,
mmu00120	101502,104086,12012,12642,13116,13122,13123,13124,15488,170789,17117,20280,208665,26459,56050,93732,
mmu00130	12850,15445,18104,217707,230027,234724,27973,52064,56316,69568,71883,
mmu00140	100041375,100043456,100559,100727,105349,107141,110115,112417,12846,13070,13072,13074,13075,13076,13077,13078,13079,13088,13089,13090,13094,13095,13096,13097,13098,13099,13101,13105,13106,13112,13113,13114,13122,13123,14979,15483,15484,15485,15486,15487,15490,15492,15493,15495,15496,15497,20860,208665,20905,22236,22238,223706,226105,226143,231396,243085,243881,27400,337924,380997,394430,394432,394433,394434,394435,394436,404195,433247,53973,54200,545123,552899,56348,56388,56448,57357,69888,71754,71773,72082,72094,72303,76279,78925,791260,94215,94224,94284,
mmu00190	100041273,100042503,104130,108664,110323,110935,114143,11944,11945,11946,11947,11949,11950,11951,11957,11958,11964,11966,11972,11973,11974,11975,11984,12856,12857,12858,12859,12861,12862,12864,12865,12866,12867,12868,12869,140494,17705,17706,17708,17709,17710,17711,17716,17717,17718,17719,17720,17721,17722,17991,17992,17993,17995,192113,20463,21871,22272,22273,225887,226139,226646,227197,228033,230075,239760,242341,27060,27425,28080,333182,338375,407785,407790,54405,54411,57423,595136,66043,66046,66052,66091,66108,66142,66144,66152,66218,66237,66290,66335,66377,66414,66416,66445,66495,66576,66594,66694,66916,66925,66945,67003,67126,67130,67184,67264,67273,67530,67680,67895,67942,68194,68197,68198,68202,68342,68349,68375,68775,69802,69875,70316,70383,71679,72900,73834,74776,74915,75406,75483,76252,76429,78174,78330,84682,
mmu00220	108682,109652,109900,11846,11847,11898,14645,14660,14661,14718,14719,18125,18126,18127,18416,216456,217214,227231,76282,
mmu00230	100862375,100862456,102216272,102641086,103850,104110,104111,105446,107569,108147,109674,110385,110639,110855,11486,11512,11513,11514,11515,11534,11564,11565,11566,11636,11637,11639,11717,11821,12495,12496,12497,12499,13178,14198,14450,14544,14917,14918,14919,14923,15452,16434,171567,18102,18103,18160,18573,18574,18575,18576,18577,18578,18582,18583,18584,18585,18587,18588,18605,18746,18770,18950,18968,18969,18971,18972,18973,18974,19075,19076,19139,20016,20017,20018,20019,20020,20021,20022,20133,20135,207728,209558,210044,215446,218461,218832,22262,224129,22436,224794,225600,229363,229589,229665,229949,230103,230718,231327,231329,231903,234889,237823,238871,239134,23917,23918,23959,23971,23972,23984,241489,242202,245650,245841,26939,271639,27369,28071,29863,328099,382985,432530,50773,53893,54195,54369,54611,56248,56520,59001,60596,633979,64424,66136,66355,66358,66401,66420,66491,66566,66681,667034,66763,66979,67005,67054,67065,67464,67486,67710,67967,68106,68695,68870,69241,69745,69833,69870,69920,70408,70428,70881,71701,72090,72157,73532,73707,74167,74414,75456,75686,76025,76952,76974,78600,78801,78929,79059,94041,
mmu00232	13077,17960,17961,17962,22262,22436,
mmu00240	100862375,100862456,102641086,103149,103850,107569,110074,12495,12497,12499,13178,171567,18102,18103,18605,18950,18968,18969,18971,18972,18973,18974,19075,19076,20016,20017,20018,20019,20020,20021,20022,20133,20135,209558,215446,21877,218832,21915,22169,22171,22245,22247,22271,230718,231329,23959,245841,26939,28071,320685,331487,382985,50773,51797,54369,55936,56520,56749,57813,59001,633979,64424,64705,66136,66401,66420,66422,66491,66588,667034,66763,66979,67005,67065,67464,67486,67710,67967,68106,68556,69241,69719,69745,69833,69870,69920,70408,70428,70881,71701,72090,72269,72962,74414,76025,76654,76952,78929,79059,80914,99586,
mmu00250	100328588,100470,108653,108682,109900,11484,11564,11565,11566,11611,11898,14204,14415,14417,14583,14584,14645,14660,14661,14718,14719,194237,212647,214579,216456,227231,231327,268782,268860,269642,27053,52633,53320,69719,70503,73988,76282,
mmu00260	100678,104174,107272,107869,108037,109731,110695,11611,11655,11656,11754,12116,12183,12411,13142,13382,14431,14711,17161,18648,19193,192166,20425,218865,231691,235582,236539,237940,257635,268782,26912,27364,434437,56012,58865,67092,68133,71776,74129,76238,
mmu00270	100041585,100328588,100470,104923,106557,107869,108645,11615,11702,11720,12035,12036,12116,12411,12583,13433,13435,13436,14204,14629,14630,14718,14719,14854,16828,16832,16833,17448,17449,20603,20810,22117,229709,231691,232087,234724,238505,246221,257635,268782,269378,56369,64918,66902,67870,67873,73988,74340,
mmu00280	100328588,100470,104776,110446,110460,110695,110821,11364,113868,11409,11669,11671,11761,11992,12035,12036,12039,12040,13171,13382,14204,15107,15108,15356,15360,17850,208715,208982,213043,227095,231086,235674,257633,268782,268860,353371,52538,56357,56752,58875,64059,66885,66904,66948,67041,71724,71872,72039,72535,73724,73988,74147,78038,78894,93747,97212,
mmu00290	12035,12036,231691,257635,
mmu00310	107303348,107823,110147,110446,110460,110593,110695,11669,11671,14055,14056,15107,170442,18193,18293,18822,19193,192195,192289,208043,208266,20937,213389,214162,225518,225888,231051,232811,233904,234135,234407,235386,235626,239017,239122,23923,26432,26433,269132,270076,30956,381022,52690,56752,64707,67956,69188,72535,72947,73251,73582,74147,74729,75410,77683,78920,84505,93747,97212,
mmu00330	100041585,107239,109731,110695,11669,11671,11702,11846,11847,12709,12715,12716,13142,14431,14718,14719,17161,18125,18126,18127,18242,18263,18451,18452,19125,20229,20603,20810,209027,212647,228608,242669,320452,332942,338403,56189,56454,56752,66054,66194,66988,67092,67217,67432,69051,69215,72535,75986,76507,76722,
mmu00340	107239,109731,110695,11484,11669,11670,11671,140483,14317,15109,15186,17161,243537,338403,56752,56847,621603,66054,67383,67689,71761,72535,73458,76507,
mmu00350	100328588,100470,109731,11522,11529,11532,11670,11754,11761,12846,13166,13190,13195,14085,14204,14718,14719,14874,15233,15445,17161,17319,18948,213043,21823,22018,22173,22178,234724,237940,26876,56847,621603,67689,68636,71724,71872,73458,73988,791260,
mmu00360	100328588,100470,107146,109731,11670,11754,13195,14204,14718,14719,15445,17161,17319,18478,234724,237940,240549,56847,621603,64697,67689,73458,73988,
mmu00380	100328588,100470,107626,107766,109731,110446,110460,110695,11298,11669,11671,11761,12359,13076,13077,13078,13195,14204,15107,15930,17161,18293,209176,213043,216343,21743,21990,229905,239017,23923,266645,270076,56720,56752,70266,70789,71562,71724,71872,72535,73988,74147,76507,93747,97212,98256,
mmu00400	100328588,100470,14204,14718,14719,18478,234724,73988,
mmu00410	103149,104776,107239,110695,11364,11669,11670,11671,11754,14415,14417,20603,20810,227095,228608,237940,268860,338403,56690,56752,56847,621603,64705,66054,67689,72535,73458,73748,74147,93747,97212,99586,
mmu00430	12012,12583,14415,14417,14598,207182,211488,23887,246277,71522,73748,
mmu00440	13026,212862,236899,28042,68671,99712,
mmu00450	107869,109079,20768,211006,212679,214580,216443,21743,229905,232223,238505,23971,23972,26462,50493,50880,70266,
mmu00471	14660,14661,216456,217830,
mmu00472	13142,
